variable,type,mean,std,min,25%,50%,75%,max,fill_value
u_diff,norm,0,1.363518482,-23.95,-0.88,-0.13,0.57,25.16,-32767
v_diff,norm,0,1.461169906,-25.94,-0.82,-0.03,0.77,21.92,-32767
